date,week_no,trial_id,tank,side,urchin_dens,urchin_size_cat,days_starved,kelp_in,time_out,kelp_out,use,size,weight
5/27/19,2,28,1,I,7,4,5,50.6,1100,30.8,1,49,45.8
5/27/19,2,28,1,I,7,4,5,50.6,1100,30.8,1,43,36.8
5/27/19,2,28,1,I,7,4,5,50.6,1100,30.8,1,38,24.4
5/27/19,2,28,1,I,7,4,5,50.6,1100,30.8,1,44,38.5
5/27/19,2,28,1,I,7,4,5,50.6,1100,30.8,1,45,37.8
5/27/19,2,28,1,I,7,4,5,50.6,1100,30.8,1,47,42
5/27/19,2,29,2,D,7,5,5,50.7,1100,32.9,1,56,86.6
5/27/19,2,29,2,D,7,5,5,50.7,1100,32.9,1,59,95.4
5/27/19,2,29,2,D,7,5,5,50.7,1100,32.9,1,55,74.3
5/27/19,2,29,2,D,7,5,5,50.7,1100,32.9,1,56,82.3
5/27/19,2,29,2,D,7,5,5,50.7,1100,32.9,1,59,83.2
5/27/19,2,29,2,D,7,5,5,50.7,1100,32.9,1,56,65.4
5/27/19,2,29,2,D,7,5,5,50.7,1100,32.9,1,57,87.3
5/27/19,2,30,2,I,7,1,5,50.8,1100,44.7,1,19,3.2
5/27/19,2,30,2,I,7,1,5,50.8,1100,44.7,1,18,3.1
5/27/19,2,30,2,I,7,1,5,50.8,1100,44.7,1,18,3.5
5/27/19,2,30,2,I,7,1,5,50.8,1100,44.7,1,18,3.3
5/27/19,2,30,2,I,7,1,5,50.8,1100,44.7,1,20,4.3
5/27/19,2,30,2,I,7,1,5,50.8,1100,44.7,1,14,1.7
5/27/19,2,30,2,I,7,1,5,50.8,1100,44.7,1,17,3.6
5/27/19,2,31,3,D,7,2,5,50.3,1100,40.4,1,23,6
5/27/19,2,31,3,D,7,2,5,50.3,1100,40.4,1,27,10.7
5/27/19,2,31,3,D,7,2,5,50.3,1100,40.4,1,22,5.4
5/27/19,2,31,3,D,7,2,5,50.3,1100,40.4,1,23,6.6
5/27/19,2,31,3,D,7,2,5,50.3,1100,40.4,1,22,6
5/27/19,2,31,3,D,7,2,5,50.3,1100,40.4,1,25,8
5/27/19,2,31,3,D,7,2,5,50.3,1100,40.4,1,23,6.2
5/27/19,2,32,3,I,7,6,5,51.6,1100,32.6,1,61,95.3
5/27/19,2,32,3,I,7,6,5,51.6,1100,32.6,1,62,98.9
5/27/19,2,32,3,I,7,6,5,51.6,1100,32.6,1,66,136.2
5/27/19,2,32,3,I,7,6,5,51.6,1100,32.6,1,64,103.2
5/27/19,2,32,3,I,7,6,5,51.6,1100,32.6,1,67,118.2
5/27/19,2,32,3,I,7,6,5,51.6,1100,32.6,1,66,125.8
5/27/19,2,32,3,I,7,6,5,51.6,1100,32.6,1,64,108.7
5/27/19,2,33,4,D,7,1,5,50.9,1100,43.7,1,19.5,3.8
5/27/19,2,33,4,D,7,1,5,50.9,1100,43.7,1,19.5,4
5/27/19,2,33,4,D,7,1,5,50.9,1100,43.7,1,16,2.2
5/27/19,2,33,4,D,7,1,5,50.9,1100,43.7,1,17,3.4
5/27/19,2,33,4,D,7,1,5,50.9,1100,43.7,1,17,2.9
5/27/19,2,33,4,D,7,1,5,50.9,1100,43.7,1,19,4
5/27/19,2,33,4,D,7,1,5,50.9,1100,43.7,1,11,0.8
5/27/19,2,34,4,I,7,3,5,50.7,1100,40.4,1,31,16
5/27/19,2,34,4,I,7,3,5,50.7,1100,40.4,1,37,21.8
5/27/19,2,34,4,I,7,3,5,50.7,1100,40.4,1,39,25.5
5/27/19,2,34,4,I,7,3,5,50.7,1100,40.4,1,33,17
5/27/19,2,34,4,I,7,3,5,50.7,1100,40.4,1,35,23.7
5/27/19,2,34,4,I,7,3,5,50.7,1100,40.4,1,30,15.4
5/27/19,2,34,4,I,7,3,5,50.7,1100,40.4,1,31,15.6
5/27/19,2,35,5,I,7,1,5,50.5,1100,45.8,1,19,3.8
5/27/19,2,35,5,I,7,1,5,50.5,1100,45.8,1,17,3
