trial_id,size_class,tank,side,level,size,Kelp_in,Kelp_out,time_ran,round,urchin_density,weight,urchin,use
28,10.0-29,13,I,T,20,50,43,96,2,5,4,r,1
28,10.0-29,13,I,T,29,50,43,96,2,5,10,r,1
28,10.0-29,13,I,T,27,50,43,96,2,5,9,r,1
28,10.0-29,13,I,T,24,50,43,96,2,5,7,r,1
28,10.0-29,13,I,T,24,50,43,96,2,5,8,r,1
28,10.0-29,13,I,T,20,50,49,48,2,5,4,r,1
28,10.0-29,13,I,T,29,50,49,48,2,5,10,r,1
28,10.0-29,13,I,T,27,50,49,48,2,5,9,r,1
28,10.0-29,13,I,T,24,50,49,48,2,5,7,r,1
28,10.0-29,13,I,T,24,50,49,48,2,5,8,r,1
29,30-49,13,I,B,45,50,24,96,2,5,48,r,1
29,30-49,13,I,B,49,50,24,96,2,5,67,r,1
29,30-49,13,I,B,43,50,24,96,2,5,48,r,1
29,30-49,13,I,B,45,50,24,96,2,5,45,r,1
29,30-49,13,I,B,45,50,24,96,2,5,54,r,1
29,30-49,13,I,B,45,50,46,48,2,5,48,r,1
29,30-49,13,I,B,49,50,46,48,2,5,67,r,1
29,30-49,13,I,B,43,50,46,48,2,5,48,r,1
29,30-49,13,I,B,45,50,46,48,2,5,45,r,1
29,30-49,13,I,B,45,50,46,48,2,5,54,r,1
30,50-69,13,D,B,64,50,34,96,2,5,88,r,1
30,50-69,13,D,B,69,50,34,96,2,5,123,r,1
30,50-69,13,D,B,69,50,34,96,2,5,133,r,1
30,50-69,13,D,B,61,50,34,96,2,5,94,r,1
30,50-69,13,D,B,54,50,34,96,2,5,84,r,1
30,50-69,13,D,B,64,50,45,48,2,5,88,r,1
30,50-69,13,D,B,69,50,45,48,2,5,123,r,1
30,50-69,13,D,B,69,50,45,48,2,5,133,r,1
30,50-69,13,D,B,61,50,45,48,2,5,94,r,1
30,50-69,13,D,B,54,50,45,48,2,5,84,r,1
31,10.0-29,14,I,B,29,50,40,96,2,5,13,r,1
31,10.0-29,14,I,B,22,50,40,96,2,5,8,r,1
31,10.0-29,14,I,B,29,50,40,96,2,5,14,r,1
31,10.0-29,14,I,B,24,50,40,96,2,5,9,r,1
31,10.0-29,14,I,B,26,50,40,96,2,5,11,r,1
31,10.0-29,14,I,B,29,50,46,48,2,5,13,r,1
31,10.0-29,14,I,B,22,50,46,48,2,5,8,r,1
31,10.0-29,14,I,B,29,50,46,48,2,5,14,r,1
31,10.0-29,14,I,B,24,50,46,48,2,5,9,r,1
31,10.0-29,14,I,B,26,50,46,48,2,5,11,r,1
32,70-89,14,D,B,71,50,44,96,2,5,133,r,1
32,70-89,14,D,B,79,50,44,96,2,5,215,r,1
32,70-89,14,D,B,73,50,44,96,2,5,180,r,1
32,70-89,14,D,B,89,50,44,96,2,5,372,r,1
32,70-89,14,D,B,79,50,44,96,2,5,256,r,1
32,70-89,14,D,B,71,50,49,48,2,5,133,r,1
32,70-89,14,D,B,79,50,49,48,2,5,215,r,1
32,70-89,14,D,B,73,50,49,48,2,5,180,r,1
32,70-89,14,D,B,89,50,49,48,2,5,372,r,1
32,70-89,14,D,B,79,50,49,48,2,5,256,r,1
33,30-49,10,I,B,32,50,29,96,2,5,21,r,1
33,30-49,10,I,B,33,50,29,96,2,5,17,r,1
33,30-49,10,I,B,35,50,29,96,2,5,23,r,1
33,30-49,10,I,B,35,50,29,96,2,5,21,r,1
33,30-49,10,I,B,36,50,29,96,2,5,23,r,1
33,30-49,10,I,B,32,50,41,48,2,5,21,r,1
33,30-49,10,I,B,33,50,41,48,2,5,17,r,1
33,30-49,10,I,B,35,50,41,48,2,5,23,r,1
33,30-49,10,I,B,35,50,41,48,2,5,21,r,1
33,30-49,10,I,B,36,50,41,48,2,5,23,r,1
34,90-109,10,D,B,93,50,48,96,2,5,339,r,1
34,90-109,10,D,B,105,50,48,96,2,5,470,r,1
34,90-109,10,D,B,91,50,48,96,2,5,311,r,1
34,90-109,10,D,B,91,50,48,96,2,5,294,r,1
34,90-109,10,D,B,99,50,48,96,2,5,427,r,1
34,90-109,10,D,B,93,50,50,48,2,5,339,r,1
34,90-109,10,D,B,105,50,50,48,2,5,470,r,1
34,90-109,10,D,B,91,50,50,48,2,5,311,r,1
34,90-109,10,D,B,91,50,50,48,2,5,294,r,1
34,90-109,10,D,B,99,50,50,48,2,5,427,r,1
